"","x"
"1","Group6"
"2","Group1"
"3","Group5"
"4","Group2"
"5","Group5"
"6","Group2"
"7","Group5"
"8","Group1"
"9","Group5"
"10","Group5"
"11","Group5"
"12","Group5"
"13","Group5"
"14","Group4"
"15","Group2"
"16","Group1"
"17","Group5"
"18","Group6"
"19","Group6"
"20","Group1"
"21","Group6"
"22","Group1"
"23","Group5"
"24","Group5"
"25","Group5"
"26","Group1"
"27","Group2"
"28","Group2"
"29","Group5"
"30","Group2"
"31","Group1"
"32","Group5"
"33","Group3"
"34","Group2"
"35","Group5"
"36","Group5"
"37","Group6"
"38","Group1"
"39","Group5"
"40","Group1"
"41","Group5"
"42","Group5"
"43","Group5"
"44","Group1"
"45","Group5"
"46","Group3"
"47","Group5"
"48","Group5"
"49","Group1"
"50","Group6"
"51","Group5"
"52","Group5"
"53","Group1"
"54","Group5"
"55","Group5"
"56","Group5"
"57","Group5"
"58","Group1"
"59","Group5"
"60","Group2"
"61","Group1"
"62","Group2"
"63","Group3"
"64","Group2"
"65","Group3"
"66","Group5"
"67","Group2"
"68","Group5"
"69","Group3"
"70","Group5"
"71","Group5"
"72","Group3"
"73","Group6"
"74","Group1"
"75","Group5"
"76","Group1"
"77","Group5"
"78","Group5"
"79","Group5"
"80","Group6"
"81","Group6"
"82","Group6"
"83","Group6"
"84","Group5"
"85","Group6"
"86","Group1"
"87","Group5"
"88","Group5"
"89","Group5"
"90","Group5"
"91","Group5"
"92","Group5"
"93","Group1"
"94","Group5"
"95","Group5"
"96","Group5"
"97","Group6"
"98","Group5"
"99","Group6"
"100","Group5"
"101","Group1"
"102","Group5"
"103","Group5"
"104","Group1"
"105","Group1"
"106","Group5"
"107","Group2"
"108","Group5"
"109","Group6"
"110","Group3"
"111","Group2"
"112","Group2"
"113","Group5"
"114","Group5"
"115","Group5"
"116","Group5"
"117","Group3"
"118","Group5"
"119","Group6"
"120","Group3"
"121","Group5"
"122","Group1"
"123","Group1"
"124","Group1"
"125","Group5"
"126","Group2"
"127","Group5"
"128","Group1"
"129","Group5"
"130","Group5"
"131","Group2"
"132","Group2"
"133","Group1"
"134","Group5"
"135","Group5"
"136","Group5"
"137","Group5"
"138","Group5"
"139","Group1"
"140","Group5"
"141","Group6"
"142","Group2"
"143","Group1"
"144","Group5"
"145","Group1"
"146","Group6"
"147","Group3"
"148","Group1"
"149","Group2"
"150","Group5"
"151","Group1"
"152","Group1"
"153","Group6"
"154","Group3"
"155","Group2"
"156","Group3"
"157","Group4"
"158","Group1"
"159","Group1"
"160","Group5"
"161","Group1"
"162","Group1"
"163","Group6"
"164","Group1"
"165","Group5"
"166","Group1"
"167","Group5"
"168","Group2"
"169","Group1"
"170","Group3"
"171","Group4"
"172","Group5"
"173","Group5"
"174","Group6"
"175","Group1"
"176","Group1"
"177","Group5"
"178","Group1"
"179","Group1"
"180","Group3"
"181","Group6"
"182","Group6"
"183","Group1"
"184","Group5"
"185","Group5"
"186","Group5"
"187","Group4"
"188","Group5"
"189","Group5"
"190","Group1"
"191","Group1"
"192","Group5"
"193","Group1"
"194","Group6"
"195","Group5"
"196","Group2"
"197","Group5"
"198","Group6"
"199","Group5"
"200","Group1"
"201","Group2"
"202","Group1"
"203","Group5"
"204","Group6"
"205","Group6"
"206","Group5"
"207","Group6"
"208","Group4"
"209","Group5"
"210","Group1"
"211","Group5"
"212","Group4"
"213","Group4"
"214","Group1"
"215","Group5"
"216","Group5"
"217","Group2"
"218","Group5"
"219","Group2"
"220","Group1"
"221","Group6"
"222","Group1"
"223","Group1"
"224","Group6"
"225","Group3"
"226","Group1"
"227","Group1"
"228","Group5"
"229","Group1"
"230","Group5"
"231","Group5"
"232","Group5"
"233","Group5"
"234","Group5"
"235","Group5"
"236","Group1"
"237","Group1"
"238","Group2"
"239","Group1"
"240","Group5"
"241","Group5"
"242","Group5"
"243","Group5"
"244","Group5"
"245","Group1"
"246","Group1"
"247","Group1"
"248","Group5"
"249","Group6"
"250","Group3"
"251","Group5"
"252","Group4"
"253","Group3"
"254","Group5"
"255","Group6"
"256","Group1"
"257","Group1"
"258","Group1"
"259","Group5"
"260","Group5"
"261","Group5"
