"","x"
"1","Group6"
"2","Group3"
"3","Group6"
"4","Group5"
"5","Group5"
"6","Group5"
"7","Group5"
"8","Group5"
"9","Group3"
"10","Group2"
"11","Group1"
"12","Group1"
"13","Group2"
"14","Group1"
"15","Group5"
"16","Group5"
"17","Group1"
"18","Group5"
"19","Group1"
"20","Group5"
"21","Group5"
"22","Group5"
"23","Group5"
"24","Group5"
"25","Group6"
"26","Group2"
"27","Group1"
"28","Group1"
"29","Group5"
"30","Group5"
"31","Group1"
"32","Group5"
"33","Group1"
"34","Group5"
"35","Group6"
"36","Group5"
"37","Group5"
"38","Group5"
"39","Group5"
"40","Group3"
"41","Group1"
"42","Group6"
"43","Group2"
"44","Group5"
"45","Group1"
"46","Group5"
"47","Group5"
"48","Group6"
"49","Group6"
"50","Group1"
"51","Group6"
"52","Group4"
"53","Group5"
"54","Group1"
"55","Group5"
"56","Group2"
"57","Group1"
"58","Group5"
"59","Group5"
"60","Group3"
"61","Group2"
"62","Group3"
"63","Group1"
"64","Group5"
"65","Group5"
"66","Group5"
"67","Group6"
"68","Group2"
"69","Group5"
"70","Group5"
"71","Group5"
"72","Group5"
"73","Group2"
"74","Group5"
"75","Group5"
"76","Group5"
"77","Group5"
"78","Group1"
"79","Group5"
"80","Group1"
"81","Group3"
"82","Group1"
"83","Group4"
"84","Group4"
"85","Group5"
"86","Group5"
"87","Group5"
"88","Group5"
"89","Group1"
"90","Group2"
"91","Group3"
"92","Group6"
"93","Group6"
"94","Group3"
"95","Group5"
"96","Group2"
"97","Group1"
"98","Group6"
"99","Group1"
"100","Group5"
"101","Group1"
"102","Group1"
"103","Group1"
"104","Group5"
"105","Group2"
"106","Group6"
"107","Group1"
"108","Group1"
"109","Group1"
"110","Group6"
"111","Group3"
"112","Group1"
"113","Group6"
"114","Group3"
"115","Group5"
"116","Group6"
"117","Group3"
"118","Group1"
"119","Group2"
"120","Group1"
"121","Group5"
"122","Group6"
"123","Group3"
"124","Group6"
"125","Group1"
"126","Group5"
"127","Group5"
"128","Group5"
"129","Group5"
"130","Group2"
"131","Group6"
"132","Group5"
"133","Group1"
"134","Group5"
"135","Group5"
"136","Group6"
"137","Group5"
"138","Group4"
"139","Group1"
"140","Group2"
"141","Group6"
"142","Group5"
"143","Group6"
"144","Group6"
"145","Group1"
"146","Group2"
"147","Group5"
"148","Group5"
"149","Group1"
"150","Group5"
"151","Group1"
"152","Group1"
"153","Group1"
"154","Group2"
"155","Group2"
"156","Group6"
"157","Group5"
"158","Group1"
"159","Group6"
"160","Group5"
"161","Group5"
"162","Group2"
"163","Group5"
"164","Group5"
"165","Group5"
"166","Group6"
"167","Group5"
"168","Group5"
"169","Group5"
"170","Group1"
"171","Group5"
"172","Group6"
"173","Group5"
"174","Group2"
"175","Group5"
"176","Group1"
"177","Group5"
"178","Group3"
"179","Group1"
"180","Group1"
"181","Group5"
"182","Group5"
"183","Group5"
"184","Group2"
"185","Group5"
"186","Group5"
"187","Group2"
